year,month,day,log_consumption,inflation,scaled_leisure_pct,log_rdi,log_nonconsumption,effective_ffr,cci,log_consumption_1,inflation_1,scaled_leisure_pct_1,log_rdi_1,log_nonconsumption_1,effective_ffr_1,cci_1,log_consumption_2,inflation_2,scaled_leisure_pct_2,log_rdi_2,log_nonconsumption_2,effective_ffr_2,cci_2,log_consumption_3,inflation_3,scaled_leisure_pct_3,log_rdi_3,log_nonconsumption_3,effective_ffr_3,cci_3
1959,4,1,9.6633625,.35078916,.6556015,9.8103552,9.282711,3.0799999,101.65,,,,,,,,,,,,,,,,,,,,,
1959,7,1,9.6697969,.5764764,.65788293,9.8053999,9.2594881,3.5699999,101.69,9.6633625,.35078916,.6556015,9.8103552,9.282711,3.0799999,101.65,,,,,,,,,,,,,,
1959,10,1,9.6766024,.55506867,.65930676,9.8093634,9.25105,3.99,100.89,9.6697969,.5764764,.65788293,9.8053999,9.2594881,3.5699999,101.69,9.6633625,.35078916,.6556015,9.8103552,9.282711,3.0799999,101.65,,,,,,,
1960,1,1,9.6764879,.11737608,.66066939,9.8143959,9.2893419,3.9300001,101.43,9.6766024,.55506867,.65930676,9.8093634,9.25105,3.99,100.89,9.6697969,.5764764,.65788293,9.8053999,9.2594881,3.5699999,101.69,9.6633625,.35078916,.6556015,9.8103552,9.282711,3.0799999,101.65
1960,4,1,9.6846323,.63092339,.65745205,9.8178368,9.2605791,3.7,102.17,9.6764879,.11737608,.66066939,9.8143959,9.2893419,3.9300001,101.43,9.6766024,.55506867,.65930676,9.8093634,9.25105,3.99,100.89,9.6697969,.5764764,.65788293,9.8053999,9.2594881,3.5699999,101.69
1960,7,1,9.6786251,.42138597,.65832418,9.8164139,9.2679262,2.9400001,99.059998,9.6846323,.63092339,.65745205,9.8178368,9.2605791,3.7,102.17,9.6764879,.11737608,.66066939,9.8143959,9.2893419,3.9300001,101.43,9.6766024,.55506867,.65930676,9.8093634,9.25105,3.99,100.89
1960,10,1,9.6816463,.45707512,.66156054,9.8124838,9.2233419,2.3,98.330002,9.6786251,.42138597,.65832418,9.8164139,9.2679262,2.9400001,99.059998,9.6846323,.63092339,.65745205,9.8178368,9.2605791,3.7,102.17,9.6764879,.11737608,.66066939,9.8143959,9.2893419,3.9300001,101.43
1961,1,1,9.6865931,.13680632,.66404891,9.8185081,9.2236023,1.99,97,9.6816463,.45707512,.66156054,9.8124838,9.2233419,2.3,98.330002,9.6786251,.42138597,.65832418,9.8164139,9.2679262,2.9400001,99.059998,9.6846323,.63092339,.65745205,9.8178368,9.2605791,3.7,102.17
1961,4,1,9.6974516,-.084781811,.66598833,9.8304052,9.2456427,1.73,100.99,9.6865931,.13680632,.66404891,9.8185081,9.2236023,1.99,97,9.6816463,.45707512,.66156054,9.8124838,9.2233419,2.3,98.330002,9.6786251,.42138597,.65832418,9.8164139,9.2679262,2.9400001,99.059998
1961,7,1,9.6966677,.34273475,.66611207,9.8405304,9.2810917,1.6799999,104.92,9.6974516,-.084781811,.66598833,9.8304052,9.2456427,1.73,100.99,9.6865931,.13680632,.66404891,9.8185081,9.2236023,1.99,97,9.6816463,.45707512,.66156054,9.8124838,9.2233419,2.3,98.330002
1961,10,1,9.7111912,.11711413,.66362083,9.8580456,9.3055305,2.4000001,102.71,9.6966677,.34273475,.66611207,9.8405304,9.2810917,1.6799999,104.92,9.6974516,-.084781811,.66598833,9.8304052,9.2456427,1.73,100.99,9.6865931,.13680632,.66404891,9.8185081,9.2236023,1.99,97
1962,1,1,9.7186279,.43973657,.663261,9.8659859,9.3348999,2.46,102.68,9.7111912,.11711413,.66362083,9.8580456,9.3055305,2.4000001,102.71,9.6966677,.34273475,.66611207,9.8405304,9.2810917,1.6799999,104.92,9.6974516,-.084781811,.66598833,9.8304052,9.2456427,1.73,100.99
1962,4,1,9.7260733,.30793175,.66168237,9.8727751,9.341342,2.6099999,103.33,9.7186279,.43973657,.663261,9.8659859,9.3348999,2.46,102.68,9.7111912,.11711413,.66362083,9.8580456,9.3055305,2.4000001,102.71,9.6966677,.34273475,.66611207,9.8405304,9.2810917,1.6799999,104.92
1962,7,1,9.7298098,.25299942,.66183007,9.8733969,9.34797,2.8499999,100.17,9.7260733,.30793175,.66168237,9.8727751,9.341342,2.6099999,103.33,9.7186279,.43973657,.663261,9.8659859,9.3348999,2.46,102.68,9.7111912,.11711413,.66362083,9.8580456,9.3055305,2.4000001,102.71
1962,10,1,9.7343559,.3065294,.66496265,9.8765602,9.3369389,2.9200001,99.519997,9.7298098,.25299942,.66183007,9.8733969,9.34797,2.8499999,100.17,9.7260733,.30793175,.66168237,9.8727751,9.341342,2.6099999,103.33,9.7186279,.43973657,.663261,9.8659859,9.3348999,2.46,102.68
1963,1,1,9.7339373,.36263201,.66519183,9.8801994,9.3528366,2.97,102.7,9.7343559,.3065294,.66496265,9.8765602,9.3369389,2.9200001,99.519997,9.7298098,.25299942,.66183007,9.8733969,9.34797,2.8499999,100.17,9.7260733,.30793175,.66168237,9.8727751,9.341342,2.6099999,103.33
1963,4,1,9.738018,.024828212,.66329753,9.8851318,9.3680849,2.96,104.25,9.7339373,.36263201,.66519183,9.8801994,9.3528366,2.97,102.7,9.7343559,.3065294,.66496265,9.8765602,9.3369389,2.9200001,99.519997,9.7298098,.25299942,.66183007,9.8733969,9.34797,2.8499999,100.17
1963,7,1,9.7485027,.4303599,.66419804,9.8920088,9.39013,3.3299999,105.59,9.738018,.024828212,.66329753,9.8851318,9.3680849,2.96,104.25,9.7339373,.36263201,.66519183,9.8801994,9.3528366,2.97,102.7,9.7343559,.3065294,.66496265,9.8765602,9.3369389,2.9200001,99.519997
1963,10,1,9.7528696,.22225696,.66334379,9.9039831,9.3909025,3.45,107.46,9.7485027,.4303599,.66419804,9.8920088,9.39013,3.3299999,105.59,9.738018,.024828212,.66329753,9.8851318,9.3680849,2.96,104.25,9.7339373,.36263201,.66519183,9.8801994,9.3528366,2.97,102.7
1964,1,1,9.7649679,.52671945,.65937918,9.9192228,9.415369,3.46,109.49,9.7528696,.22225696,.66334379,9.9039831,9.3909025,3.45,107.46,9.7485027,.4303599,.66419804,9.8920088,9.39013,3.3299999,105.59,9.738018,.024828212,.66329753,9.8851318,9.3680849,2.96,104.25
1964,4,1,9.776475,.36082655,.65617871,9.9417315,9.4179554,3.49,106.76,9.7649679,.52671945,.65937918,9.9192228,9.415369,3.46,109.49,9.7528696,.22225696,.66334379,9.9039831,9.3909025,3.45,107.46,9.7485027,.4303599,.66419804,9.8920088,9.39013,3.3299999,105.59
1964,7,1,9.7872782,.44853082,.65813148,9.9502449,9.4248209,3.46,102.15,9.776475,.36082655,.65617871,9.9417315,9.4179554,3.49,106.76,9.7649679,.52671945,.65937918,9.9192228,9.415369,3.46,109.49,9.7528696,.22225696,.66334379,9.9039831,9.3909025,3.45,107.46
1964,10,1,9.7925978,.3133865,.65830201,9.9571428,9.4150143,3.5799999,105.83,9.7872782,.44853082,.65813148,9.9502449,9.4248209,3.46,102.15,9.776475,.36082655,.65617871,9.9417315,9.4179554,3.49,106.76,9.7649679,.52671945,.65937918,9.9192228,9.415369,3.46,109.49
1965,1,1,9.7992067,.35424593,.65513974,9.9646549,9.4546719,3.98,103.73,9.7925978,.3133865,.65830201,9.9571428,9.4150143,3.5799999,105.83,9.7872782,.44853082,.65813148,9.9502449,9.4248209,3.46,102.15,9.776475,.36082655,.65617871,9.9417315,9.4179554,3.49,106.76
1965,4,1,9.8084078,.59900528,.65397245,9.9718657,9.4646549,4.0799999,103.07,9.7992067,.35424593,.65513974,9.9646549,9.4546719,3.98,103.73,9.7925978,.3133865,.65830201,9.9571428,9.4150143,3.5799999,105.83,9.7872782,.44853082,.65813148,9.9502449,9.4248209,3.46,102.15
1965,7,1,9.8191347,.53618193,.65364814,9.9956045,9.4899273,4.0799999,99.260002,9.8084078,.59900528,.65397245,9.9718657,9.4646549,4.0799999,103.07,9.7992067,.35424593,.65513974,9.9646549,9.4546719,3.98,103.73,9.7925978,.3133865,.65830201,9.9571428,9.4150143,3.5799999,105.83
1965,10,1,9.8391638,.62051022,.6522646,10.012177,9.5098143,4.1700001,102.14,9.8191347,.53618193,.65364814,9.9956045,9.4899273,4.0799999,99.260002,9.8084078,.59900528,.65397245,9.9718657,9.4646549,4.0799999,103.07,9.7992067,.35424593,.65513974,9.9646549,9.4546719,3.98,103.73
1966,1,1,9.8457279,.92384714,.65089726,10.019353,9.5522003,4.5599999,105.37,9.8391638,.62051022,.6522646,10.012177,9.5098143,4.1700001,102.14,9.8191347,.53618193,.65364814,9.9956045,9.4899273,4.0799999,99.260002,9.8084078,.59900528,.65397245,9.9718657,9.4646549,4.0799999,103.07
1966,4,1,9.8532152,.88472044,.65068758,10.01913,9.5451002,4.9099998,106.86,9.8457279,.92384714,.65089726,10.019353,9.5522003,4.5599999,105.37,9.8391638,.62051022,.6522646,10.012177,9.5098143,4.1700001,102.14,9.8191347,.53618193,.65364814,9.9956045,9.4899273,4.0799999,99.260002
1966,7,1,9.8581448,.80959016,.65079093,10.028397,9.5484209,5.4099998,108.82,9.8532152,.88472044,.65068758,10.01913,9.5451002,4.9099998,106.86,9.8457279,.92384714,.65089726,10.019353,9.5522003,4.5599999,105.37,9.8391638,.62051022,.6522646,10.012177,9.5098143,4.1700001,102.14
1966,10,1,9.8614349,.67267162,.65056789,10.036945,9.5570536,5.5599999,105.17,9.8581448,.80959016,.65079093,10.028397,9.5484209,5.4099998,108.82,9.8532152,.88472044,.65068758,10.01913,9.5451002,4.9099998,106.86,9.8457279,.92384714,.65089726,10.019353,9.5522003,4.5599999,105.37
1967,1,1,9.8679848,.41488057,.65423262,10.048421,9.5618935,4.8200002,103.53,9.8614349,.67267162,.65056789,10.036945,9.5570536,5.5599999,105.17,9.8581448,.80959016,.65079093,10.028397,9.5484209,5.4099998,108.82,9.8532152,.88472044,.65068758,10.01913,9.5451002,4.9099998,106.86
1967,4,1,9.8731575,.44449577,.65585411,10.052498,9.5480213,3.99,100.8,9.8679848,.41488057,.65423262,10.048421,9.5618935,4.8200002,103.53,9.8614349,.67267162,.65056789,10.036945,9.5570536,5.5599999,105.17,9.8581448,.80959016,.65079093,10.028397,9.5484209,5.4099998,108.82
1967,7,1,9.8769875,.76374674,.65437186,10.056945,9.5514812,3.8900001,100.8,9.8731575,.44449577,.65585411,10.052498,9.5480213,3.99,100.8,9.8679848,.41488057,.65423262,10.048421,9.5618935,4.8200002,103.53,9.8614349,.67267162,.65056789,10.036945,9.5570536,5.5599999,105.17
1967,10,1,9.8795023,.77260715,.65392852,10.059637,9.5563126,4.1700001,100,9.8769875,.76374674,.65437186,10.056945,9.5514812,3.8900001,100.8,9.8731575,.44449577,.65585411,10.052498,9.5480213,3.99,100.8,9.8679848,.41488057,.65423262,10.048421,9.5618935,4.8200002,103.53
